"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98444099999","2021-01-01","13.157064","123.746247","20.11","LEGAZPI, RP","  76.7"," 8","  74.3"," 8","1011.5"," 8","009.7"," 8","  6.5"," 8","  5.8"," 8","  7.8","999.9","  81.0"," ","  75.2"," "," 7.41","G","999.9","010000"
"98444099999","2021-01-02","13.157064","123.746247","20.11","LEGAZPI, RP","  80.4"," 8","  76.8"," 8","1010.8"," 8","009.0"," 8","  8.5"," 8","  5.3"," 8","  7.8","999.9","  84.6"," ","  75.6"," "," 1.98","G","999.9","010000"
"98444099999","2021-01-03","13.157064","123.746247","20.11","LEGAZPI, RP","  80.1"," 8","  76.8"," 8","1011.1"," 8","009.4"," 8","  7.5"," 8","  3.9"," 8","  5.8","999.9","  84.2"," ","  77.9"," "," 1.02","G","999.9","010000"
"98444099999","2021-01-04","13.157064","123.746247","20.11","LEGAZPI, RP","  79.6"," 8","  76.8"," 8","1011.3"," 8","009.6"," 8","  6.7"," 8","  3.9"," 8","  7.8","999.9","  84.6"," ","  77.2"," "," 1.11","G","999.9","010000"
"98444099999","2021-01-05","13.157064","123.746247","20.11","LEGAZPI, RP","  82.6"," 8","  76.1"," 8","1010.8"," 8","009.0"," 8","  8.9"," 8","  5.1"," 8","  7.8","999.9","  87.6"," ","  76.5"," "," 0.94","G","999.9","010000"
"98444099999","2021-01-06","13.157064","123.746247","20.11","LEGAZPI, RP","  79.6"," 8","  75.6"," 8","1009.9"," 8","008.1"," 8","  8.3"," 8","  3.9"," 7","  5.8","999.9","  86.0"," ","  77.2"," "," 0.98","G","999.9","010000"
"98444099999","2021-01-07","13.157064","123.746247","20.11","LEGAZPI, RP","  81.6"," 7","  76.0"," 7","1008.8"," 7","007.0"," 7","  9.6"," 7","  5.8"," 7","  7.8","999.9","  88.0"," ","  77.2","*"," 0.69","G","999.9","010000"
"98444099999","2021-01-08","13.157064","123.746247","20.11","LEGAZPI, RP","  77.3"," 8","  74.9"," 8","1008.9"," 8","007.1"," 8","  4.9"," 8","  6.3"," 8","  9.7","999.9","  81.0"," ","  75.9"," "," 1.19","G","999.9","010000"
"98444099999","2021-01-09","13.157064","123.746247","20.11","LEGAZPI, RP","  75.2"," 8","  72.9"," 8","1010.2"," 8","008.4"," 8","  5.1"," 8","  9.5"," 8","  9.7","999.9","  77.0"," ","  73.9","*"," 3.24","G","999.9","010000"
"98444099999","2021-01-10","13.157064","123.746247","20.11","LEGAZPI, RP","  74.9"," 8","  71.7"," 8","1011.6"," 8","009.8"," 8","  7.0"," 8"," 10.4"," 8"," 13.6","999.9","  77.4"," ","  73.4"," "," 1.37","G","999.9","010000"
"98444099999","2021-01-11","13.157064","123.746247","20.11","LEGAZPI, RP","  76.3"," 8","  70.6"," 8","1011.1"," 8","009.3"," 8","  6.5"," 8","  8.5"," 8","  9.7","999.9","  78.1"," ","  73.6"," "," 0.05","G","999.9","010000"
"98444099999","2021-01-12","13.157064","123.746247","20.11","LEGAZPI, RP","  77.9"," 8","  70.7"," 8","1010.7"," 8","008.9"," 8","  7.9"," 8","  8.7"," 8"," 11.7","999.9","  81.3"," ","  74.8"," "," 0.01","G","999.9","010000"
"98444099999","2021-01-13","13.157064","123.746247","20.11","LEGAZPI, RP","  78.8"," 8","  73.3"," 8","1009.6"," 8","007.8"," 8","  7.8"," 8","  6.3"," 8","  9.7","999.9","  82.2"," ","  75.2"," "," 0.00","G","999.9","010000"
"98444099999","2021-01-14","13.157064","123.746247","20.11","LEGAZPI, RP","  78.2"," 8","  75.7"," 8","1009.2"," 8","007.4"," 8","  5.3"," 8","  4.9"," 8","  7.8","999.9","  81.1"," ","  75.2","*"," 1.38","G","999.9","010000"
"98444099999","2021-01-15","13.157064","123.746247","20.11","LEGAZPI, RP","  79.4"," 8","  74.8"," 8","1008.0"," 8","006.2"," 8","  9.6"," 8","  6.4"," 7","  7.8","999.9","  84.9","*","  74.3","*"," 0.95","G","999.9","000000"
"98444099999","2021-01-16","13.157064","123.746247","20.11","LEGAZPI, RP","  78.4"," 8","  73.9"," 8","1008.2"," 8","006.4"," 8","  6.9"," 8","  6.8"," 8","  9.7","999.9","  81.7"," ","  75.9","*"," 0.00","G","999.9","010000"
"98444099999","2021-01-17","13.157064","123.746247","20.11","LEGAZPI, RP","  79.7"," 8","  75.7"," 8","1008.9"," 8","007.1"," 8","  8.8"," 8","  4.4"," 8","  7.8","999.9","  86.0"," ","  75.9"," "," 0.02","G","999.9","010000"
"98444099999","2021-01-18","13.157064","123.746247","20.11","LEGAZPI, RP","  78.5"," 8","  74.6"," 8","1009.5"," 8","007.7"," 8","  5.9"," 8","  4.9"," 8","  7.8","999.9","  84.7"," ","  75.6","*"," 1.00","G","999.9","010000"
"98444099999","2021-01-19","13.157064","123.746247","20.11","LEGAZPI, RP","  76.8"," 8","  74.1"," 8","1008.4"," 8","006.6"," 8","  5.8"," 8","  5.8"," 6","  7.8","999.9","  78.6"," ","  75.2","*"," 1.13","G","999.9","010000"
"98444099999","2021-01-20","13.157064","123.746247","20.11","LEGAZPI, RP","  80.8"," 8","  77.0"," 8","1009.1"," 8","007.5"," 7","  8.8"," 8","  3.9"," 7","  5.8","999.9","  84.6"," ","  75.2"," "," 0.76","G","999.9","010000"
"98444099999","2021-01-21","13.157064","123.746247","20.11","LEGAZPI, RP","  81.1"," 8","  77.1"," 8","1009.5"," 8","007.7"," 8","  9.0"," 8","  4.1"," 8","  5.8","999.9","  88.2"," ","  77.0","*"," 0.02","G","999.9","010000"
"98444099999","2021-01-22","13.157064","123.746247","20.11","LEGAZPI, RP","  80.4"," 8","  77.4"," 8","1009.6"," 8","007.8"," 8"," 10.3"," 8","  3.1"," 5","  5.8","999.9","  84.6"," ","  76.1","*"," 0.26","G","999.9","010000"
"98444099999","2021-01-23","13.157064","123.746247","20.11","LEGAZPI, RP","  82.0"," 8","  77.5"," 8","1010.3"," 8","008.4"," 8"," 10.0"," 8","999.9"," 0","999.9","999.9","  89.4"," ","  75.9"," "," 0.00","G","999.9","000000"
"98444099999","2021-01-24","13.157064","123.746247","20.11","LEGAZPI, RP","  83.1"," 8","  77.5"," 8","1011.3"," 8","009.5"," 8"," 10.3"," 8","  4.2"," 7","  7.8","999.9","  89.4"," ","  75.9"," "," 0.00","I","999.9","000000"
"98444099999","2021-01-25","13.157064","123.746247","20.11","LEGAZPI, RP","  82.1"," 8","  75.3"," 8","1010.8"," 8","009.0"," 8"," 10.3"," 8","  4.5"," 6","  5.8","999.9","  89.8"," ","  75.2","*"," 0.00","I","999.9","000000"
"98444099999","2021-01-26","13.157064","123.746247","20.11","LEGAZPI, RP","  81.9"," 8","  73.8"," 8","1010.2"," 8","008.4"," 8"," 10.3"," 8","  4.2"," 7","  7.8","999.9","  89.1"," ","  72.7"," "," 0.00","I","999.9","000000"
"98444099999","2021-01-27","13.157064","123.746247","20.11","LEGAZPI, RP","  80.7"," 8","  75.5"," 8","1010.1"," 8","008.3"," 8","  8.6"," 8","  4.1"," 8","  7.8","999.9","  88.0"," ","  75.2"," "," 1.22","C","999.9","010000"
"98444099999","2021-01-28","13.157064","123.746247","20.11","LEGAZPI, RP","  78.7"," 8","  72.2"," 7","1011.9"," 8","010.1"," 8","  8.3"," 8","  7.3"," 8","  9.7","999.9","  82.2"," ","  77.0","*"," 0.07","C","999.9","010000"
"98444099999","2021-01-29","13.157064","123.746247","20.11","LEGAZPI, RP","  78.8"," 8","  71.0"," 8","1012.4"," 8","010.6"," 8"," 10.0"," 8"," 10.3"," 7"," 13.6","999.9","  84.9"," ","  75.2","*"," 0.00","I","999.9","000000"
"98444099999","2021-01-30","13.157064","123.746247","20.11","LEGAZPI, RP","  77.6"," 8","  70.5"," 8","1014.0"," 8","012.2"," 8","  9.1"," 8","  8.0"," 8"," 11.7","999.9","  82.4"," ","  75.2"," "," 0.00","C","999.9","010000"
"98444099999","2021-01-31","13.157064","123.746247","20.11","LEGAZPI, RP","  78.6"," 8","  71.8"," 8","1013.5"," 8","011.8"," 8","  8.2"," 8","  5.8"," 8","  7.8","999.9","  84.2"," ","  75.2"," "," 0.00","G","999.9","010000"
"98444099999","2021-02-01","13.157064","123.746247","20.11","LEGAZPI, RP","  78.8"," 8","  73.4"," 8","1012.7"," 8","010.9"," 8","  8.8"," 8","  5.8"," 8","  9.7","999.9","  84.2","*","  75.9"," "," 0.25","G","999.9","010000"
"98444099999","2021-02-02","13.157064","123.746247","20.11","LEGAZPI, RP","  78.4"," 8","  73.9"," 8","1012.8"," 8","011.0"," 8","  7.4"," 8","  6.3"," 8","  9.7","999.9","  85.1"," ","  76.1","*"," 0.16","G","999.9","010000"
"98444099999","2021-02-03","13.157064","123.746247","20.11","LEGAZPI, RP","  80.4"," 8","  74.5"," 8","1012.5"," 8","010.7"," 8","  7.4"," 8","  6.8"," 8","  7.8","999.9","  88.2"," ","  75.9"," "," 0.01","G","999.9","010000"
"98444099999","2021-02-04","13.157064","123.746247","20.11","LEGAZPI, RP","  79.4"," 8","  75.3"," 8","1012.3"," 7","010.5"," 7","  8.0"," 8","  6.6"," 8","  9.7","999.9","  84.7"," ","  75.0"," "," 2.06","G","999.9","010000"
"98444099999","2021-02-05","13.157064","123.746247","20.11","LEGAZPI, RP","  78.5"," 8","  76.0"," 8","1011.9"," 8","010.1"," 8","  7.1"," 8","  4.2"," 7","  7.8","999.9","  84.2"," ","  76.1","*"," 0.19","G","999.9","010000"
"98444099999","2021-02-06","13.157064","123.746247","20.11","LEGAZPI, RP","  82.1"," 8","  76.1"," 8","1011.2"," 8","009.6"," 8"," 10.0"," 8","  4.6"," 8","  7.8","999.9","  88.7","*","  76.1"," "," 1.61","G","999.9","010000"
"98444099999","2021-02-07","13.157064","123.746247","20.11","LEGAZPI, RP","  81.9"," 8","  76.3"," 8","1010.3"," 8","008.5"," 8","  8.6"," 8","  6.8"," 8","  7.8","999.9","  87.6"," ","  78.8"," "," 0.20","G","999.9","000000"
"98444099999","2021-02-08","13.157064","123.746247","20.11","LEGAZPI, RP","  77.4"," 8","  73.2"," 8","1011.2"," 8","009.4"," 8","  5.6"," 8","  5.6"," 8","  7.8","999.9","  82.4"," ","  75.0","*"," 0.46","G","999.9","010000"
"98444099999","2021-02-09","13.157064","123.746247","20.11","LEGAZPI, RP","  76.3"," 7","  73.2"," 7","1009.9"," 7","008.1"," 7","  4.6"," 7","  5.5"," 6","  7.8","999.9","  81.1"," ","  71.4"," "," 3.43","G","999.9","010000"
"98444099999","2021-02-10","13.157064","123.746247","20.11","LEGAZPI, RP","  81.3"," 4","  76.2"," 4","1009.5"," 4","007.7"," 4","  8.5"," 4","  3.4"," 4","  5.8","999.9","  84.2","*","  73.8"," "," 4.20","G","999.9","010000"
"98444099999","2021-02-13","13.157064","123.746247","20.11","LEGAZPI, RP","  79.2"," 4","  75.0"," 4","1010.7"," 4","008.9"," 4","  9.3"," 4","  4.9"," 4","  5.8","999.9","  86.7"," ","  78.4","*"," 0.00","I","999.9","000000"
"98444099999","2021-02-14","13.157064","123.746247","20.11","LEGAZPI, RP","  79.5"," 8","  74.3"," 8","1010.8"," 8","009.0"," 8","  8.5"," 8","  5.0"," 7","  7.8","999.9","  83.8"," ","  75.9","*"," 0.00","I","999.9","000000"
"98444099999","2021-02-15","13.157064","123.746247","20.11","LEGAZPI, RP","  80.4"," 8","  73.5"," 8","1011.3"," 8","009.5"," 8"," 10.3"," 8","  5.6"," 8","  7.8","999.9","  86.5"," ","  75.2"," "," 0.00","A","999.9","000000"
"98444099999","2021-02-16","13.157064","123.746247","20.11","LEGAZPI, RP","  81.5"," 8","  72.2"," 8","1011.4"," 8","009.6"," 8","  9.3"," 8","  6.6"," 8","  7.8","999.9","  87.6"," ","  76.1"," "," 0.00","G","999.9","000000"
"98444099999","2021-02-17","13.157064","123.746247","20.11","LEGAZPI, RP","  80.4"," 8","  72.5"," 8","1012.2"," 8","010.4"," 8","  8.2"," 8","  8.0"," 8","  9.7","999.9","  86.9"," ","  74.3"," "," 0.00","B","999.9","010000"
"98444099999","2021-02-18","13.157064","123.746247","20.11","LEGAZPI, RP","  80.0"," 8","  71.2"," 8","1013.5"," 8","011.7"," 8"," 10.0"," 8","  7.8"," 8"," 11.7","999.9","  87.1"," ","  75.6","*"," 0.00","G","999.9","000000"
"98444099999","2021-02-19","13.157064","123.746247","20.11","LEGAZPI, RP","  81.9"," 4","  69.1"," 4","1014.1"," 4","012.3"," 4"," 11.2"," 4"," 13.6"," 4"," 17.5","999.9","  84.0","*","  75.6"," "," 0.02","G","999.9","000000"
"98444099999","2021-02-22","13.157064","123.746247","20.11","LEGAZPI, RP","  77.4","10","  75.5","10","1008.6","10","006.8","10","  6.0","10","  2.9"," 8","  5.8","999.9","  79.9"," ","  75.2","*"," 1.02","G","999.9","010000"
"98444099999","2021-02-23","13.157064","123.746247","20.11","LEGAZPI, RP","  83.2"," 8","  78.3"," 8","1008.8"," 8","007.0"," 8"," 10.3"," 8","  3.9"," 8","  5.8","999.9","  88.7"," ","  75.2"," "," 1.66","G","999.9","000000"
"98444099999","2021-02-24","13.157064","123.746247","20.11","LEGAZPI, RP","  81.3"," 8","  75.9"," 8","1008.7"," 8","007.0"," 8"," 10.3"," 8","  4.9"," 6","  7.8","999.9","  88.0"," ","  75.2","*"," 0.00","G","999.9","000000"
"98444099999","2021-02-25","13.157064","123.746247","20.11","LEGAZPI, RP","  82.8"," 8","  75.4"," 8","1008.1"," 8","006.2"," 8"," 10.3"," 8","  3.4"," 8","  5.8","999.9","  89.4"," ","  76.6"," "," 0.00","I","999.9","000000"
"98444099999","2021-02-26","13.157064","123.746247","20.11","LEGAZPI, RP","  83.2"," 8","  77.2"," 8","1008.3"," 8","006.5"," 8"," 10.3"," 8","  4.2"," 6","  5.8","999.9","  87.8"," ","  77.0"," "," 0.00","I","999.9","000000"
"98444099999","2021-02-27","13.157064","123.746247","20.11","LEGAZPI, RP","  83.1"," 8","  77.4"," 8","1010.2"," 8","008.4"," 8","  9.8"," 8","  4.2"," 7","  5.8","999.9","  88.7"," ","  78.1","*"," 0.04","A","999.9","010000"
"98444099999","2021-02-28","13.157064","123.746247","20.11","LEGAZPI, RP","  82.1"," 8","  76.4"," 8","1011.9"," 8","010.1"," 8","  9.6"," 8","  4.6"," 8","  7.8","999.9","  88.0"," ","  77.7"," "," 0.12","A","999.9","010000"
"98444099999","2021-03-01","13.157064","123.746247","20.11","LEGAZPI, RP","  82.0"," 8","  75.2"," 8","1013.3"," 8","011.5"," 8"," 10.3"," 8","  4.7"," 5","  7.8","999.9","  90.1"," ","  73.4","*"," 0.00","I","999.9","000000"
"98444099999","2021-03-02","13.157064","123.746247","20.11","LEGAZPI, RP","  84.6"," 4","  76.1"," 4","1014.0"," 4","012.2"," 4"," 10.7"," 4","  4.4"," 4","  5.8","999.9","  88.9","*","  72.9"," "," 0.00","I","999.9","000000"
"98444099999","2021-03-05","13.157064","123.746247","20.11","LEGAZPI, RP","  79.3"," 7","  75.4"," 7","1014.3"," 7","012.5"," 7","  8.9"," 7","  4.7"," 7","  7.8","999.9","  86.0"," ","  77.4","*"," 0.32","D","999.9","010000"
"98444099999","2021-03-06","13.157064","123.746247","20.11","LEGAZPI, RP","  82.5"," 4","  76.8"," 4","1014.9"," 4","013.1"," 4"," 10.7"," 4","  6.3"," 4","  7.8","999.9","  86.2","*","  77.4"," "," 0.00","I","999.9","000000"
"98444099999","2021-03-07","13.157064","123.746247","20.11","LEGAZPI, RP","  82.3"," 8","  74.0"," 8","1013.4"," 7","011.4"," 8"," 10.3"," 8","  4.4"," 7","  5.8","999.9","  88.0"," ","  75.4"," "," 0.00","I","999.9","000000"
"98444099999","2021-03-08","13.157064","123.746247","20.11","LEGAZPI, RP","  80.8"," 6","  76.4"," 6","1013.8"," 6","011.8"," 5","  8.0"," 6","  4.2"," 6","  5.8","999.9","  88.3"," ","  77.0"," "," 0.91","C","999.9","010000"
"98444099999","2021-03-09","13.157064","123.746247","20.11","LEGAZPI, RP","  81.6"," 5","  73.8"," 5","1014.0"," 5","012.2"," 5","  8.2"," 5","  5.8"," 5","  7.8","999.9","  87.1"," ","  77.0","*"," 0.39","B","999.9","000000"
"98444099999","2021-03-10","13.157064","123.746247","20.11","LEGAZPI, RP","  81.1"," 5","  74.8"," 5","1013.4"," 5","011.6"," 5","  8.5"," 5","  5.8"," 5","  7.8","999.9","  88.5"," ","  75.2"," "," 0.20","A","999.9","010000"
"98444099999","2021-03-11","13.157064","123.746247","20.11","LEGAZPI, RP","  76.2"," 7","  74.0"," 7","1012.9"," 7","011.1"," 7","  4.7"," 7","  5.0"," 7","  7.8","999.9","  80.2"," ","  74.3","*"," 2.24","C","999.9","010000"
"98444099999","2021-03-13","13.157064","123.746247","20.11","LEGAZPI, RP","  78.5"," 7","  74.7"," 7","1010.5"," 7","008.7"," 7","  8.0"," 7","  5.5"," 7","  7.8","999.9","  82.9"," ","  75.2"," "," 1.81","G","999.9","010000"
"98444099999","2021-03-14","13.157064","123.746247","20.11","LEGAZPI, RP","  81.9"," 5","  77.0"," 5","1009.3"," 5","007.5"," 5","  7.6"," 5","  2.7"," 5","  3.9","999.9","  85.8","*","  74.5"," "," 0.46","G","999.9","010000"
"98444099999","2021-03-15","13.157064","123.746247","20.11","LEGAZPI, RP","  81.6"," 8","  76.9"," 8","1009.7"," 8","007.9"," 8","  8.6"," 8","  3.4"," 4","  3.9","999.9","  88.9"," ","  75.9"," "," 0.04","G","999.9","000000"
"98444099999","2021-03-16","13.157064","123.746247","20.11","LEGAZPI, RP","  83.7"," 7","  77.8"," 7","1010.7"," 7","008.9"," 7","  8.5"," 7","  3.9"," 5","  5.8","999.9","  90.9"," ","  75.9"," "," 0.06","G","999.9","000000"
"98444099999","2021-03-17","13.157064","123.746247","20.11","LEGAZPI, RP","  84.4"," 8","  78.3"," 8","1010.1"," 8","008.3"," 8"," 10.0"," 8","  3.9"," 8","  5.8","999.9","  90.3"," ","  78.8"," "," 0.00","G","999.9","000000"
"98444099999","2021-03-18","13.157064","123.746247","20.11","LEGAZPI, RP","  84.6"," 8","  78.3"," 8","1009.2"," 8","007.4"," 8"," 10.3"," 8","  4.4"," 8","  7.8","999.9","  90.0"," ","  78.8"," "," 0.02","A","999.9","000000"
"98444099999","2021-03-19","13.157064","123.746247","20.11","LEGAZPI, RP","  83.5"," 8","  78.0"," 8","1008.7"," 8","006.9"," 8"," 10.0"," 8","  3.9"," 5","  5.8","999.9","  90.5"," ","  78.8","*"," 0.40","G","999.9","010000"
"98444099999","2021-03-20","13.157064","123.746247","20.11","LEGAZPI, RP","  82.9"," 8","  77.2"," 8","1008.0"," 8","006.2"," 8"," 10.3"," 8","  3.6"," 7","  5.8","999.9","  88.9"," ","  78.8"," "," 0.24","G","999.9","010000"
"98444099999","2021-03-21","13.157064","123.746247","20.11","LEGAZPI, RP","  81.5"," 8","  78.0"," 8","1010.0"," 8","008.2"," 8","  9.1"," 8","  3.6"," 7","  5.8","999.9","  86.2"," ","  77.9","*"," 0.45","G","999.9","010000"
"98444099999","2021-03-22","13.157064","123.746247","20.11","LEGAZPI, RP","  82.1"," 8","  77.2"," 8","1011.9"," 8","010.1"," 8","  9.6"," 8","  4.4"," 7","  5.8","999.9","  88.9"," ","  77.0"," "," 0.96","G","999.9","010000"
"98444099999","2021-03-23","13.157064","123.746247","20.11","LEGAZPI, RP","  79.5"," 8","  76.4"," 8","1012.0"," 8","010.2"," 8","  6.7"," 8","  4.9"," 8","  7.8","999.9","  82.8"," ","  78.3"," "," 0.50","G","999.9","010000"
"98444099999","2021-03-24","13.157064","123.746247","20.11","LEGAZPI, RP","  82.8"," 8","  76.6"," 8","1011.0"," 8","009.2"," 8","  8.7"," 8","  5.3"," 8","  9.7","999.9","  88.3"," ","  77.9","*"," 1.95","G","999.9","010000"
"98444099999","2021-03-25","13.157064","123.746247","20.11","LEGAZPI, RP","  83.3"," 8","  76.5"," 8","1011.0"," 8","009.2"," 8","  9.4"," 8","  5.2"," 6","  7.8","999.9","  90.0"," ","  77.4"," "," 0.04","G","999.9","010000"
"98444099999","2021-03-26","13.157064","123.746247","20.11","LEGAZPI, RP","  82.2"," 8","  77.2"," 8","1010.2"," 8","008.4"," 8"," 10.3"," 8","  4.4"," 7","  5.8","999.9","  89.6"," ","  77.9"," "," 0.13","G","999.9","010000"
"98444099999","2021-03-27","13.157064","123.746247","20.11","LEGAZPI, RP","  83.5"," 8","  77.3"," 8","1009.5"," 8","007.7"," 8"," 10.3"," 8","  5.1"," 8"," 11.7","999.9","  89.2"," ","  78.4"," "," 0.20","G","999.9","010000"
"98444099999","2021-03-28","13.157064","123.746247","20.11","LEGAZPI, RP","  83.6"," 8","  78.1"," 8","1008.7"," 8","006.9"," 8"," 10.0"," 8","  4.1"," 8","  5.8","999.9","  89.2"," ","  77.9"," "," 0.06","G","999.9","010000"
"98444099999","2021-03-29","13.157064","123.746247","20.11","LEGAZPI, RP","  83.6"," 8","  77.2"," 7","1008.0"," 8","005.7"," 7"," 10.0"," 8","  4.2"," 6","  5.8","999.9","  90.0"," ","  79.0","*"," 0.24","G","999.9","000000"
"98444099999","2021-03-30","13.157064","123.746247","20.11","LEGAZPI, RP","  84.2"," 8","  77.2"," 8","1007.0"," 8","005.2"," 8"," 10.3"," 8","  4.1"," 8","  5.8","999.9","  90.3"," ","  78.1"," "," 0.00","G","999.9","000000"
"98444099999","2021-03-31","13.157064","123.746247","20.11","LEGAZPI, RP","  84.0"," 8","  77.9"," 8","1006.9"," 8","005.1"," 8","  8.9"," 8","  5.1"," 8","  7.8","999.9","  90.0"," ","  78.4","*","99.99"," ","999.9","010000"
"98444099999","2021-04-01","13.157064","123.746247","20.11","LEGAZPI, RP","  83.0"," 8","  75.1"," 8","1008.1"," 8","006.3"," 8"," 10.3"," 8","  4.7"," 7","  7.8","999.9","  90.3"," ","  77.0","*"," 0.00","A","999.9","000000"
"98444099999","2021-04-02","13.157064","123.746247","20.11","LEGAZPI, RP","  84.0"," 8","  75.9"," 8","1009.2"," 8","007.4"," 8"," 10.0"," 8","  5.3"," 8","  7.8","999.9","  89.6"," ","  77.0"," "," 0.00","G","999.9","000000"
"98444099999","2021-04-03","13.157064","123.746247","20.11","LEGAZPI, RP","  84.4"," 8","  77.6"," 8","1009.4"," 8","007.6"," 8"," 10.3"," 8","  5.5"," 6","  7.8","999.9","  90.7"," ","  77.2","*"," 0.00","A","999.9","000000"
"98444099999","2021-04-04","13.157064","123.746247","20.11","LEGAZPI, RP","  84.5"," 8","  76.6"," 8","1009.9"," 8","008.1"," 8"," 10.3"," 8","  5.1"," 8","  5.8","999.9","  91.2"," ","  77.2"," "," 0.00","I","999.9","000000"
"98444099999","2021-04-05","13.157064","123.746247","20.11","LEGAZPI, RP","  84.8"," 8","  76.3"," 8","1011.3"," 8","009.5"," 8","  8.5"," 8","  3.9"," 8","  5.8","999.9","  90.3"," ","  78.6"," "," 0.00","I","999.9","000000"
