"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98433099999","2021-01-01","14.5833333","121.3666666","651.0","TANAY, RP","  68.6"," 8","  64.5"," 8","1012.0"," 8","940.0"," 8","  4.9"," 8"," 10.0"," 8"," 19.4","999.9","  71.1"," ","  65.5"," "," 0.00","I","999.9","100000"
"98433099999","2021-01-02","14.5833333","121.3666666","651.0","TANAY, RP","  70.2"," 8","  66.8"," 8","1011.4"," 8","939.7"," 8","  3.4"," 7","  8.3"," 8"," 15.5","999.9","  74.3"," ","  65.8"," "," 0.00","I","999.9","100000"
"98433099999","2021-01-03","14.5833333","121.3666666","651.0","TANAY, RP","  70.8"," 8","  69.1"," 8","1011.9"," 8","940.2"," 8","  4.6"," 8"," 11.4"," 8"," 17.5","999.9","  72.0"," ","  66.2"," "," 0.04","G","999.9","110000"
"98433099999","2021-01-04","14.5833333","121.3666666","651.0","TANAY, RP","  72.4"," 8","  69.3"," 8","1011.6"," 8","940.1"," 8","  6.9"," 8","  9.7"," 8"," 13.6","999.9","  76.3"," ","  65.3"," "," 2.34","G","999.9","110000"
"98433099999","2021-01-05","14.5833333","121.3666666","651.0","TANAY, RP","  71.6"," 8","  68.3"," 8","1011.5"," 8","940.0"," 8","  8.2"," 8","  9.5"," 8"," 11.7","999.9","  75.4","*","  68.9"," "," 0.21","G","999.9","000000"
"98433099999","2021-01-06","14.5833333","121.3666666","651.0","TANAY, RP","  72.3"," 8","  67.1"," 8","1010.1"," 8","938.8"," 8","  8.8"," 8"," 10.2"," 8"," 13.6","999.9","  77.0"," ","  68.0"," "," 0.00","G","999.9","000000"
"98433099999","2021-01-07","14.5833333","121.3666666","651.0","TANAY, RP","  71.2"," 7","  67.7"," 7","1009.7"," 7","938.3"," 7","  8.5"," 7"," 10.5"," 7"," 13.6","999.9","  76.5"," ","  68.0"," "," 0.08","G","999.9","100000"
"98433099999","2021-01-08","14.5833333","121.3666666","651.0","TANAY, RP","  70.8"," 8","  67.0"," 8","1009.6"," 8","938.1"," 8","  7.1"," 8","  9.0"," 8"," 17.5","999.9","  74.5"," ","  67.6"," "," 0.04","G","999.9","100000"
"98433099999","2021-01-09","14.5833333","121.3666666","651.0","TANAY, RP","  69.0"," 8","  64.4"," 8","1010.6"," 8","938.9"," 8","  7.1"," 8"," 10.2"," 8"," 11.7","999.9","  73.8"," ","  66.4","*"," 0.00","G","999.9","000000"
"98433099999","2021-01-10","14.5833333","121.3666666","651.0","TANAY, RP","  67.0"," 8","  62.9"," 8","1012.0"," 8","939.9"," 8","  8.8"," 8"," 12.1"," 8"," 13.6","999.9","  69.8"," ","  65.3"," "," 0.00","B","999.9","010000"
