"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"98430099999","2021-01-01","14.65","121.05","46.0","SCIENCE GARDEN, RP","  77.0"," 8","  67.3"," 8","1012.4"," 8","007.5"," 8","  5.0"," 8","  2.2"," 8","  3.9","999.9","  81.7"," ","  73.0"," "," 0.00","G","999.9","000000"
"98430099999","2021-01-02","14.65","121.05","46.0","SCIENCE GARDEN, RP","  79.5"," 8","  70.8"," 8","1011.6"," 8","006.7"," 8","  5.0"," 8","999.9"," 0","999.9","999.9","  85.6"," ","  73.9"," "," 0.00","G","999.9","000000"
"98430099999","2021-01-03","14.65","121.05","46.0","SCIENCE GARDEN, RP","  76.2"," 8","  73.8"," 8","1011.9"," 8","007.0"," 8","  4.6"," 8","999.9"," 0","999.9","999.9","  79.5"," ","  73.8","*"," 1.73","B","999.9","010000"
"98430099999","2021-01-04","14.65","121.05","46.0","SCIENCE GARDEN, RP","  80.7"," 8","  72.7"," 8","1010.8"," 8","006.0"," 8","  5.0"," 8","  3.4"," 8","  7.8","999.9","  88.9"," ","  73.8"," ","99.99"," ","999.9","010000"
"98430099999","2021-01-05","14.65","121.05","46.0","SCIENCE GARDEN, RP","  78.4"," 8","  72.8"," 8","1011.6"," 8","006.7"," 8","  4.9"," 8","  3.1"," 5","  5.8","999.9","  84.9"," ","  71.6","*"," 0.03","G","999.9","010000"
"98430099999","2021-01-06","14.65","121.05","46.0","SCIENCE GARDEN, RP","  80.2"," 8","  70.5"," 8","1010.3"," 8","005.5"," 8","  5.0"," 8","  1.9"," 7","  1.9","999.9","  89.6"," ","  71.2"," "," 0.01","G","999.9","000000"
"98430099999","2021-01-07","14.65","121.05","46.0","SCIENCE GARDEN, RP","  79.0"," 7","  71.7"," 7","1010.1"," 7","005.2"," 7","  5.0"," 7","  1.9"," 7","  1.9","999.9","  84.9"," ","  71.6","*"," 0.00","G","999.9","000000"
"98430099999","2021-01-08","14.65","121.05","46.0","SCIENCE GARDEN, RP","  80.1"," 8","  69.4"," 8","1010.0"," 8","005.1"," 8","  4.7"," 8","  3.6"," 7","  5.8","999.9","  86.0"," ","  71.6"," "," 0.00","G","999.9","000000"
"98430099999","2021-01-09","14.65","121.05","46.0","SCIENCE GARDEN, RP","  78.4"," 8","  66.2"," 8","1011.1"," 8","006.2"," 8","  5.0"," 8","  3.6"," 8","  9.7","999.9","  85.6"," ","  73.8","*"," 0.00","I","999.9","000000"
"98430099999","2021-01-10","14.65","121.05","46.0","SCIENCE GARDEN, RP","  77.7"," 8","  68.2"," 8","1011.9"," 8","007.0"," 8","  5.0"," 8","999.9"," 0","999.9","999.9","  83.8"," ","  72.0","*"," 0.00","I","999.9","000000"
"98430099999","2021-01-11","14.65","121.05","46.0","SCIENCE GARDEN, RP","  77.1"," 8","  65.3"," 8","1012.6"," 8","007.6"," 8","  4.8"," 8","  1.9"," 7","  1.9","999.9","  81.7"," ","  70.9"," "," 0.00","I","999.9","000000"
"98430099999","2021-01-12","14.65","121.05","46.0","SCIENCE GARDEN, RP","  76.3"," 8","  64.6"," 8","1011.8"," 8","006.9"," 8","  5.0"," 8","  2.9"," 6","  3.9","999.9","  85.3"," ","  69.3","*"," 0.00","I","999.9","000000"
"98430099999","2021-01-13","14.65","121.05","46.0","SCIENCE GARDEN, RP","  77.8"," 8","  68.2"," 8","1010.8"," 8","005.9"," 8","  4.8"," 8","  2.2"," 8","  3.9","999.9","  82.8"," ","  69.1"," "," 0.00","I","999.9","000000"
"98430099999","2021-01-14","14.65","121.05","46.0","SCIENCE GARDEN, RP","  79.7"," 8","  70.0"," 8","1010.2"," 8","005.3"," 8","  5.0"," 8","  2.3"," 6","  3.9","999.9","  86.0"," ","  72.3"," "," 0.00","I","999.9","000000"
