"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72028503734","2021-01-01","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  41.8","24","  34.6","24","9999.9"," 0","027.4","19","  9.2","24","  3.4","24","  8.0"," 15.0","  49.6"," ","  39.2"," "," 0.04","G","999.9","000000"
"72028503734","2021-01-02","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  44.9","24","  42.1","24","9999.9"," 0","014.8","24","  6.9","24","  4.5","24"," 13.0","999.9","  63.0"," ","  36.9"," "," 0.76","G","999.9","000000"
"72028503734","2021-01-03","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  44.3","24","  42.7","24","9999.9"," 0","014.3","24","  6.2","24","  3.7","24"," 11.1"," 14.0","  47.1"," ","  41.2"," "," 0.86","G","999.9","000000"
"72028503734","2021-01-04","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  40.8","24","  36.1","24","9999.9"," 0","014.8","24","  9.7","24","  2.5","24","  7.0","999.9","  49.3"," ","  33.8"," "," 0.04","G","999.9","000000"
"72028503734","2021-01-05","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  41.4","24","  36.4","24","9999.9"," 0","013.2","24"," 10.0","24","  1.1","24","  6.0","999.9","  45.7"," ","  35.6"," "," 0.00","G","999.9","000000"
"72028503734","2021-01-06","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  40.0","24","  30.4","24","9999.9"," 0","017.8","24"," 10.0","24","  4.6","24","  9.9"," 15.9","  43.9","*","  35.2","*"," 0.00","I","999.9","000000"
"72028503734","2021-01-07","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  36.3","24","  27.6","24","9999.9"," 0","021.4","24"," 10.0","24","  2.9","24","  8.0","999.9","  45.7"," ","  28.9"," "," 0.00","I","999.9","000000"
"72028503734","2021-01-08","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  35.3","24","  29.1","24","9999.9"," 0","016.6","24"," 10.0","24","  1.8","24","  7.0","999.9","  42.1"," ","  28.9"," "," 0.00","I","999.9","000000"
"72028503734","2021-01-09","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  35.1","24","  21.2","24","9999.9"," 0","012.1","24"," 10.0","24","  4.6","24","  9.9"," 15.0","  44.8"," ","  29.3"," "," 0.00","I","999.9","000000"
"72028503734","2021-01-10","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  37.3","24","  23.7","24","9999.9"," 0","021.5","24"," 10.0","24","  2.7","24","  7.0","999.9","  49.1"," ","  24.1"," "," 0.00","I","999.9","000000"
"72028503734","2021-01-11","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  32.5","24","  27.2","24","9999.9"," 0","025.8","24"," 10.0","24","  0.2","24","  4.1","999.9","  45.5"," ","  22.5"," "," 0.00","I","999.9","000000"
"72028503734","2021-01-12","37.52111","-76.76472","7.3","MIDDLE PENINSULA REGIONAL AIRPORT, VA US","  40.8","24","  32.5","24","9999.9"," 0","021.2","24"," 10.0","24","  1.5","24","  8.0","999.9","  51.4"," ","  30.9"," "," 0.00","I","999.9","000000"
