"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"61641099999","2020-01-01","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  76.4","21","  51.3","19","1013.5"," 8","010.2"," 8","  3.7","21","  8.2","21"," 12.0","999.9","  84.2","*","  69.8","*"," 0.00","I","999.9","000000"
"61641099999","2020-01-02","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  74.5","20","  47.1","19","1014.7"," 8","011.4"," 8","  1.9","20","  8.9","20"," 14.0","999.9","  80.8","*","  69.8","*"," 0.00","I","999.9","000000"
"61641099999","2020-01-03","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  75.4","21","  49.2","21","1014.9"," 8","011.6"," 8","  2.1","21"," 12.2","21"," 18.1","999.9","  80.6","*","  71.6","*"," 0.00","I","999.9","000000"
"61641099999","2020-01-04","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  74.5","23","  47.2","23","1015.1"," 8","011.8"," 8","  1.7","23"," 11.7","23"," 15.9","999.9","  82.4","*","  69.8"," "," 0.00","I","999.9","000000"
"61641099999","2020-01-05","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  72.5","20","  55.7","20","1015.3"," 8","012.0"," 8","  1.8","20"," 13.5","20"," 18.1","999.9","  75.2","*","  66.9"," "," 0.00","I","999.9","000000"
"61641099999","2020-01-06","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  71.4","22","  52.6","22","1015.4"," 8","012.0"," 8","  1.9","22"," 14.3","22"," 18.1","999.9","  77.0","*","  68.0","*"," 0.00","I","999.9","000000"
"61641099999","2020-01-07","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  70.7","24","  49.3","24","1014.8"," 8","011.5"," 8","  3.3","24"," 13.1","24"," 18.1","999.9","  75.2","*","  68.0","*"," 0.00","I","999.9","000000"
"61641099999","2020-01-08","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  69.7","20","  47.5","19","1015.5"," 8","012.2"," 8","  5.2","20"," 15.3","20"," 17.1","999.9","  73.4","*","  64.4","*"," 0.00","I","999.9","000000"
"61641099999","2020-01-09","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  69.5","22","  49.8","22","1016.6"," 8","013.3"," 8","  5.6","22"," 16.3","22"," 19.0","999.9","  73.4","*","  60.8","*"," 0.00","I","999.9","000000"
"61641099999","2020-01-10","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  67.8","24","  50.6","24","1016.9"," 8","013.5"," 8","  6.2","24"," 13.5","24"," 22.9","999.9","  73.4","*","  64.4","*"," 0.00","I","999.9","000000"
"61641099999","2020-01-11","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  67.8","20","  54.8","20","1016.5"," 6","013.1"," 6","  4.8","20"," 11.9","20"," 15.9","999.9","  71.6","*","  62.6","*"," 0.00","I","999.9","000000"
"61641099999","2020-01-12","14.739708","-17.490225","25.9","LEOPOLD SEDAR SENGHOR INTERNATIONAL, SG","  69.2","22","  55.9","22","1015.8"," 8","012.5"," 8","  5.3","22","  8.9","22"," 15.9","999.9","  77.0","*","  64.4","*"," 0.00","I","999.9","000000"
